App,Category,1H change,1D Change,7D Change,TVL,TVL_numeric,MC/TVL
AAVE,CDP,0.0103,-2.95%,-2.89%,$340.12m,340120000,3.64
2Benqi,Liquid Staking,-0.14%,0.0059,0.123,$253.07m,253070000,0.62
3GMX,Derivatives,0.0132,0.2484,0.7005,$124.81m,124810000,5.21
4Trader Joe,Dexes,0.0253,0.0333,0.1729,$113.59m,113590000,
5Stargate,Cross Chain,-0.67%,0.0462,0.1141,$76.64m,76640000,2.49
6Yield Yak,Yield,-1.49%,-3.05%,0.1595,$42.27m,42270000,
7Platypus Finance,Dexes,0.0028,-23.67%,-10.07%,$41.83m,41830000,0.11
8Vector Finance,Yield,-0.95%,-11.19%,0.1386,$41.68m,41680000,0.07
9Pangolin,Dexes,0.20%,0.0001,8.30%,$34.86m,34860000,0.24
10CIAN,Services,0.0065,0.0148,0.2121,$23.52m,23520000,
11Curve,Dexes,-2.22%,0.0199,-7.24%,$21.79m,21790000,38.36
12Homora V2,Yield,-3.81%,-1.61%,0.0582,$20.19m,20190000,5.63
13Yeti Finance,CDP,-3.00%,-4.90%,0.0212,$18.51m,18510000,0.1
14DeltaPrime,Leveraged Farming,-5.45%,0.1006,8.14,$15.73m,15730000,
15Beefy,Yield Aggregator,-0.65%,0.0242,0.0275,$14.97m,14970000,2.55
16KyberSwap,Dexes,-0.66%,0.0528,0.0753,$14.25m,14250000,1.52
17Synapse,Cross Chain,0.0143,-29.00%,0.0569,$13.29m,13290000,22.54
18Echidna Finance,Yield,-5.30%,-40.65%,0.3364,$10.43m,10430000,0.01
19WOO Network,,-1.59%,0.1185,0.4811,"$5,621,386","5,621,386.00",
20Hashflow,Dexes,-0.26%,0.1003,0.0021,"$3,862,198","3,862,198.00",
21Iron Bank,Lending,-3.00%,-1.87%,-14.94%,"$3,672,181","3,672,181.00",0.1
22Hubble Exchange,Derivatives,-1.07%,0.0015,-2.60%,"$3,385,219","3,385,219.00",
23InsurAce,Insurance,-1.97%,-13.20%,-17.39%,"$2,629,342","2,629,342.00",2.19
24MarginSwap,Dexes,-1.00%,0.0032,0.0294,"$2,484,843","2,484,843.00",0.07
25Waterfall DeFi,Yield Aggregator,0.0009,0.0015,0.0025,"$2,397,698","2,397,698.00",0.01
26Axial,Dexes,-0.25%,0.0015,0.0009,"$2,244,574","2,244,574.00",0.02
27RadioShack,Dexes,0.0009,0.0763,0.3295,"$2,168,748","2,168,748.00",1.28
28StakeDAO,Yield,-0.83%,-0.60%,-26.83%,"$2,035,559","2,035,559.00",8.82
29Aperture Finance,Leveraged Farming,0.0033,-8.21%,-32.76%,"$1,859,971","1,859,971.00",
30Nereus Finance,Lending,-0.54%,-22.77%,-50.49%,"$1,826,656","1,826,656.00",5.82
31QiDao,CDP,-0.69%,-0.12%,-18.05%,"$1,446,940","1,446,940.00",7.27
32Sushi,Dexes,0.287,0.0291,-2.72%,"$1,340,005","1,340,005.00",
33Geode,Liquid Staking,-2.59%,0.008,0.0225,"$1,337,923","1,337,923.00",
34VaporDex,Dexes,-4.44%,0.0116,0.0927,"$1,292,805","1,292,805.00",
35Abracadabra,CDP,-0.01%,-3.08%,0.0195,"$1,251,101","1,251,101.00",80.59
36Moremoney,Lending,-2.16%,-0.78%,0.2688,"$1,247,282","1,247,282.00",0.3
37Team Finance,Launchpad,-3.52%,0.01,0.083,"$1,190,501","1,190,501.00",17.39
38Zookeeper,Yield,0.005,0.137,0.1901,"$1,121,676","1,121,676.00",3.04
39Snowball,Yield,-1.93%,0.0057,0.0382,"$1,091,448","1,091,448.00",0.07
40Swapsicle,Dexes,-1.34%,-0.28%,0.1054,"$1,082,499","1,082,499.00",
41Fractal Protocol,Yield,0.0023,0.002,0.001,"$1,068,903","1,068,903.00",
42Steakhut Finance,Yield,0.0052,0.1154,0.1212,"$1,016,135","1,016,135.00",
43Pendle,Yield,-0.50%,0.0043,-1.28%,"$941,845","941,845.00",15.4
44MUX Derivatives,Derivatives,-2.03%,-1.09%,0.6117,"$843,039","843,039.00",
45Vesper,Yield Aggregator,-2.50%,-2.99%,-4.19%,"$754,429","754,429.00",7.39
46BiFi,Lending,-0.60%,0.0289,0.0219,"$608,752","608,752.00",4.8
47Ribbon,Options Vault,-3.03%,0.0001,0.0831,"$586,459","586,459.00",
48Penguin Finance,Yield,-1.82%,0.0073,0.1151,"$569,676","569,676.00",0.41
49HunnySwap,Dexes,-1.83%,0.0059,0.0597,"$530,733","530,733.00",
50BayMax,Derivatives,-0.71%,-1.65%,3.4,"$524,802","524,802.00",
