App,Category,1H change,1D Change,7D Change,TVL,TVL_numeric,MC/TVL
Lido,Liquid Staking,-2.81%,-4.43%,0.0415,$8.43b,8430000000,0.29
2MakerDAO,CDP,-1.75%,-5.22%,-1.57%,$7.1b,7100000000,0.09
3Curve,Dexes,-1.51%,-2.81%,0.0298,$4.55b,4550000000,0.17
4Convex Finance,Yield,-2.30%,-3.87%,0.0067,$4.1b,4100000000,0.11
5AAVE,CDP,-2.01%,-5.36%,0.037,$3.92b,3920000000,
6Uniswap,Dexes,-0.78%,-0.85%,0.0707,$3.81b,3810000000,1.3
7Instadapp,Services,-2.39%,-6.93%,-1.53%,$1.97b,1970000000,0.01
8Compound Finance,CDP,-2.31%,-1.92%,-0.83%,$1.93b,1930000000,
9Coinbase Wrapped Staked ETH,Liquid Staking,-2.80%,-4.24%,0.0442,$1.79b,1790000000,
10Frax Finance,Stablecoin,-0.49%,-1.08%,0.0366,$1.49b,1490000000,
Rocket Pool,Liquid Staking,-3.21%,-6.15%,0.1353,$1.05b,1050000000,0.86
12Balancer,Dexes,-2.87%,-0.69%,-37.85%,$944.11m,944110000,0.29
13Aura,Yield,-2.52%,0.0738,0.316,$618.78m,618780000,0.12
14Liquity,CDP,-2.41%,-4.66%,0.0206,$589.06m,589060000,0.15
15Sushi,Dexes,0.1245,-5.96%,-3.72%,$523.38m,523380000,
16Arrakis Finance,Yield,0%,0.0013,-2.92%,$439.07m,439070000,
17Yearn Finance,Yield Aggregator,-1.81%,-4.97%,0.0088,$421.67m,421670000,0.69
18dYdX,Derivatives,0.002,0.0468,-5.15%,$394.2m,394200000,1.02
19Synthetix,Synthetics,-0.57%,-0.97%,0.0188,$299.04m,299040000,2.79
20Morpho,,-2.16%,0.0137,0.2701,$279.91m,279910000,
21Euler,Lending,-2.66%,0.0703,0.2179,$277.39m,277390000,0.4
22BendDAO,,-3.90%,-7.49%,0.5056,$250.94m,250940000,
23Abracadabra,CDP,-2.09%,-2.55%,0.101,$231.32m,231320000,0.41
24Nexus Mutual,Insurance,-2.84%,-5.46%,-2.53%,$213.16m,213160000,1.46
25Tornado Cash,Privacy,-0.44%,-3.69%,0.04,$201.7m,201700000,0.06
26LlamaPay,Payments,-3.95%,-19.22%,0.6632,$168.18m,168180000,
27Flexa,Payments,-12.16%,0.4285,0.391,$163.16m,163160000,2.39
28Sablier Finance,Payments,-2.01%,0.0444,0.0657,$144.11m,144110000,
29DefiSaver,Services,-3.00%,-6.11%,-7.29%,$144.06m,144060000,
30Stargate,Cross Chain,0.0259,0.0615,0.2941,$143.07m,143070000,1.18
31StakeWise,Liquid Staking,-2.83%,-4.77%,0.0163,$137.04m,137040000,0.25
32Loopring,Dexes,-4.54%,-11.10%,0.1106,$117.41m,117410000,4.01
33Blur,NFT Marketplace,-8.65%,0.1861,2.31,$116.53m,116530000,2.97
34UniCrypt,Launchpad,-5.26%,-6.03%,0.0367,$113.97m,113970000,0.14
35Gearbox,Leveraged Farming,-2.47%,-4.89%,-5.32%,$110.13m,110130000,0.13
36StakeHound,Liquid Staking,-2.88%,-5.60%,-0.40%,$104.53m,104530000,
37Bancor,,-3.96%,-1.16%,0.029,$98.84m,98840000,
38Ankr,Liquid Staking,-2.90%,-5.67%,0.0034,$92.27m,92270000,3.87
39Solidly V2,Dexes,0.1132,0.8924,1.24,$91.46m,91460000,
40Set Protocol,Indexes,-3.51%,-6.52%,-2.72%,$83.43m,83430000,
41StakeDAO,Yield,-3.75%,-7.16%,0.079,$76.29m,76290000,0.24
42Synapse,Cross Chain,-4.07%,-0.69%,0.1016,$72.05m,72050000,3.59
43Concentrator,Yield,-2.77%,-4.81%,0.1077,$71.91m,71910000,
44Enzyme Finance,Indexes,0.3885,0.3495,0.458,$70.31m,70310000,0.52
45UwU Lend,Lending,-0.52%,-0.79%,-5.28%,$70.25m,70250000,0.12
46Index Coop,Indexes,-3.78%,-6.95%,-40.57%,$64.14m,64140000,0.24
47ParaSpace,NFT Lending,-1.32%,0.0968,0.7257,$64.11m,64110000,
48Homora V2,Yield,-1.76%,-3.97%,0.0909,$59.48m,59480000,1.73
49Stader,Liquid Staking,-5.08%,-13.03%,0.1613,$58.25m,58250000,0.43
50Team Finance,Launchpad,-1.96%,-4.02%,0.0533,$56.89m,56890000,0.51
