App,Category,1H change,1D Change,7D Change,TVL,TVL_numeric,MC/TVL
Velodrome,Dexes,0.0566,0.3409,1.26,$294.14m,294140000,0.11
2Synthetix,Synthetics,-3.75%,-4.13%,-1.79%,$130.65m,130650000,6.37
3AAVE V3,Lending,-1.14%,-4.04%,0.0129,$86.92m,86920000,
4Curve,Dexes,-1.15%,-7.40%,0.0754,$82.81m,82810000,9.13
5Beefy,Yield Aggregator,0.0162,0.0945,0.4121,$74.93m,74930000,0.5
6Uniswap V3,Dexes,0.0248,-2.01%,-16.19%,$55.88m,55880000,
7PoolTogether,Services,0.00%,-2.51%,0.1217,$39.12m,39120000,0.07
8Beethoven X,Dexes,-9.71%,-5.69%,0.4254,$31.14m,31140000,0.26
9Sonne Finance,Lending,0.1443,0.4129,0.8467,$30.17m,30170000,0.38
10Stargate,Cross Chain,-6.33%,-16.70%,0.0863,$27.71m,27710000,6.12
11dHEDGE,Indexes,0.0235,0.0528,1.01,$23.77m,23770000,0.31
12Toros,Indexes,0.0166,0.0471,1.22,$20.95m,20950000,
13Perpetual Protocol,Derivatives,0.0062,0.0202,0.0369,$17.34m,17340000,4.19
14USD+,Yield,0.0091,0.1362,0.893,$15.88m,15880000,1.23
15Lyra,Options,0.0319,0.0442,-0.94%,$14.36m,14360000,3.59
16Reaper Farm,Yield Aggregator,-1.39%,-4.77%,0.0498,$13.24m,13240000,1.86
17Pika Protocol,Derivatives,0.0422,-0.46%,0.2236,$12.9m,12900000,
18KyberSwap,Dexes,0.0311,-3.65%,0.3296,$12.6m,12600000,1.67
19dForce,Lending,0.0155,0.007,-29.62%,"$9,078,626",9078626,2.61
20Hop Protocol,Cross Chain,0.091,0.0455,0.2232,"$8,831,727",8831727,1.54
21Homora V2,Yield,0.0017,-5.08%,-6.95%,"$7,405,008",7405008,13.93
22Hundred Finance,Lending,0.0468,-11.42%,0.2551,"$6,205,250",6205250,0.2
23Tarot,Lending,0.0723,0.5829,1.21,"$5,381,215",5381215,0.73
24Arrakis Finance,Yield,-2.61%,-23.42%,-54.70%,"$4,942,322",4942322,
25Iron Bank,Lending,-1.78%,-9.96%,0.0844,"$4,693,692",4693692,0.07
Pickle,Yield Aggregator,0.2567,0.3903,0.7082,"$4,491,181",4491181,0.37
27Revert Compoundor,Services,0.0083,-7.60%,0.1661,"$4,349,202",4349202,
28Synapse,Cross Chain,0.0975,-14.64%,0.2222,"$4,192,923",4192923,61.77
29ACryptoS,Yield Aggregator,0.2896,1.27,4.5,"$3,656,919",3656919,0.29
30QiDao,CDP,-1.45%,-6.47%,-6.25%,"$3,089,004",3089004,3
31xToken,Services,0.0324,0.0533,-51.85%,"$2,687,285",2687285,0.6
32Rubicon,Dexes,-8.77%,-25.23%,-79.37%,"$2,466,683",2466683,
33DefiEdge,Dexes,0.0142,-4.43%,-38.98%,"$2,435,189",2435189,
34Granary Finance,Lending,-2.41%,0.3751,0.4631,"$1,912,120",1912120,
35Premia,Options,-4.58%,0.0647,-11.37%,"$1,198,010",1198010,42.93
36Hashflow,Dexes,-5.02%,-2.40%,0.1351,"$1,163,124",1163124,
37Powerbomb Finance,Yield,0.0059,-2.20%,0.3277,"$1,010,587",1010587,
38WOO Network,,0.0583,0.0464,0.2588,"$997,855",997855,
39WePiggy,Lending,0.0127,0.0659,-71.44%,"$975,008",975008,
40UniDex,Derivatives,-3.62%,-0.11%,-19.13%,"$880,402",880402,30.23
412Pi Network,Yield,0.0013,0.0024,0.0338,"$836,360",836360,
42Polynomial Protocol,Options Vault,-0.60%,-5.33%,-13.18%,"$801,400",801400,
43Clipper,Dexes,-0.31%,-6.34%,-8.51%,"$783,245",783245,
44Mean Finance,Services,-1.69%,-7.30%,0.0932,"$642,046",642046,
45OPX Finance,Derivatives,-4.18%,-6.16%,0.1121,"$595,836",595836,
46Alchemix,Synthetics,-2.03%,-4.14%,0.4803,"$553,312",553312,65.53
47Gamma,Yield,0.0567,-32.74%,,"$526,879",526879,13.69
48Angle,CDP,0.3274,1.16,2.38,"$522,063",522063,24.85
49Jarvis Network,Derivatives,-0.02%,-1.16%,,"$502,120",502120,11.27
50Sushi,,0.1062,2.6,72.48,"$470,873",470873,
