App,Category,1H change,1D Change,7D Change,TVL,TVL_numeric,MC/TVL
AAVE,CDP,0.0106,0.017,0.0243,$327.41m,327410000,
2Quickswap,Dexes,0.0162,-0.61%,0.0323,$177.37m,177370000,
3Balancer,Dexes,0.0162,-23.09%,-11.85%,$135.52m,135520000,2.1
4Uniswap V3,Dexes,0.0176,0.0009,-0.18%,$104.87m,104870000,
5Beefy,Yield Aggregator,0.0226,0.0295,0.1725,$81.4m,81400000,0.48
6Tetu,Yield  ,0.0217,0.0013,0.2629,$63.06m,63060000,
7Curve,Dexes,0.0082,0.009,-14.00%,$62.85m,62850000,13.45
8Stargate,Cross Chain,-4.50%,0.1839,0.0493,$47.1m,47100000,4.06
9Klima DAO,Reserve Currency,-0.36%,0.0519,0.3999,$44.05m,44050000,0.52
10Sushi,Dexes,0.0169,-0.42%,0.1019,$39.11m,39110000,
11Toucan Protocol,RWA,-0.46%,0.0701,0.6039,$33.65m,33650000,
12QiDao,CDP,0.0109,-1.95%,0.0212,$27.1m,27100000,0.4
13Meshswap,Dexes,0.0142,-1.41%,-4.76%,$25.77m,25770000,
14Gamma,Yield,0.0655,0.7033,69.68,$23.23m,23230000,0.33
15Dfyn Network,Dexes,0.0057,0.1002,0.1751,$20.48m,20480000,0.45
16Gains Network,Derivatives,-0.86%,0.0639,-0.60%,$18.09m,18090000,14.58
17KyberSwap,Dexes,0.0857,0.0319,0.1284,$18.05m,18050000,1.21
18ApeSwap AMM,Dexes,0.0152,0.0041,0.1632,$11.37m,11370000,
19CIAN,Services,0.0472,0.1171,1.2,"$8,078,697","8,078,697.00",
20Aavegotchi,Gaming,0.0424,0.399,0.3369,"$7,787,811","7,787,811.00",11.57
21Metavault,Derivatives,0.0124,0.0975,0.2051,"$7,294,964","7,294,964.00",1.07
22Proxy,Yield,0.0133,-0.82%,0.0501,"$7,076,574","7,076,574.00",
23Synapse,Cross Chain,0.03,-14.89%,0.1298,"$6,822,005","6,822,005.00",44.85
240vix,Lending,0.0032,-5.18%,0.2406,"$6,629,745","6,629,745.00",
25MM Finance,Yield,-0.17%,-7.76%,-3.01%,"$6,062,883","6,062,883.00",
26Arrakis Finance,Yield,0.0013,0.1349,-1.51%,"$5,563,990","5,563,990.00",
27Hop Protocol,Cross Chain,-1.45%,0.05,0.1469,"$5,551,374","5,551,374.00",1.38
28StakeDAO,Yield,0.0008,0.0299,-7.59%,"$5,434,545","5,434,545.00",3.37
29Autofarm,Yield Aggregator,0.0177,-1.67%,0.1388,"$5,235,566","5,235,566.00",4.85
30UniCrypt,Launchpad,-0.11%,0.1726,0.1906,"$5,065,954","5,065,954.00",3.25
31mStable CDP,CDP,0.0007,-1.38%,-3.77%,"$4,867,609","4,867,609.00",
32IDEX,Dexes,0.0103,-2.04%,-2.49%,"$4,769,868","4,769,868.00",9.95
33Superfluid,Payments,0.0032,0.047,1.72,"$4,746,808","4,746,808.00",
34Guard-Helmet,Insurance,0.0074,0.017,0.0905,"$4,126,405","4,126,405.00",0.09
35DODO,Dexes,0.0116,-3.66%,0.0517,"$4,101,110","4,101,110.00",23.14
36Polymarket,Prediction Market,0.006,0.0678,-12.38%,"$3,860,085","3,860,085.00",
37Polycat Finance,Yield,0.0133,0.0157,0.1531,"$3,749,131","3,749,131.00",
38PoolTogether,Services,0.0018,-1.94%,-6.10%,"$3,719,748","3,719,748.00",0.78
39dHEDGE,Indexes,0.0117,-1.53%,-6.43%,"$3,689,388","3,689,388.00",1.84
40dForce,Lending,-5.95%,0.608,0.3968,"$3,371,830","3,371,830.00",7.91
41InsurAce,Insurance,0.0088,-0.96%,0.0933,"$3,361,516","3,361,516.00",1.71
42Hashflow,Dexes,0.0081,0.0613,0.2343,"$3,337,276","3,337,276.00",
43GotchiVault,Staking,0.0195,0.3929,0.4871,"$3,335,423","3,335,423.00",
44pNetwork,Cross Chain,-0.04%,0.0039,0.0062,"$3,042,405","3,042,405.00",5.12
45Mimo Protocol,CDP,0.008,-0.46%,-3.06%,"$2,901,900","2,901,900.00",3.52
46Jarvis Network,Derivatives,0.0015,0.0065,,"$2,722,302","2,722,302.00",2.15
47Tangible,RWA,0.2274,2.93,28.53,"$2,658,236","2,658,236.00",
48Tidal Finance,Insurance,-4.56%,-4.56%,-4.52%,"$2,601,469","2,601,469.00",0.8
49WOO Network,,0.0155,-0.10%,0.0344,"$2,288,443","2,288,443.00",
50Impermax Finance,Yield,0.0066,0.057,-4.34%,"$2,169,377","2,169,377.00",
